C26.017;Abdominal Injuries;D000007
C12.777;Hypertension, Renal;D006977
C13.351;Hypertension, Renal;D006977
C14.907;Hypertension, Renal;D006977
C12.777;Hypertension, Renovascular;D006978
C13.351;Hypertension, Renovascular;D006978
C14.907;Hypertension, Renovascular;D006978
C19.874;Hyperthyroidism;D006980
C19.874;Hyperthyroxinemia;D006981
C17.800;Hypertrichosis;D006983
C08.618;Hyperventilation;D006985
C18.654;Hypervitaminosis A;D006986
C10.597;Hypesthesia;D006987
C11.290;Hyphema;D006988
C19.053;Hypoaldosteronism;D006994
C16.320;Hypobetalipoproteinemias;D006995
C18.452;Hypobetalipoproteinemias;D006995
C18.452;Hypocalcemia;D006996
C03.858;Hypodermyiasis;D007000
C18.452;Hypoglycemia;D007003
C19.391;Hypogonadism;D007006
C17.800;Hypohidrosis;D007007
C18.452;Hypokalemia;D007008
C16.320;Hypolipoproteinemias;D007009
C18.452;Hypolipoproteinemias;D007009
C18.452;Hyponatremia;D007010
C19.642;Hypoparathyroidism;D007011
C04.588;Hypopharyngeal Neoplasms;D007012
C07.550;Hypopharyngeal Neoplasms;D007012
C09.647;Hypopharyngeal Neoplasms;D007012
C09.775;Hypopharyngeal Neoplasms;D007012
C16.320;Hypophosphatasia;D007014
C18.452;Hypophosphatasia;D007014
C12.777;Hypophosphatemia, Familial;D007015
C13.351;Hypophosphatemia, Familial;D007015
C16.320;Hypophosphatemia, Familial;D007015
C18.452;Hypophosphatemia, Familial;D007015
C10.228;Hypopituitarism;D007018
C19.700;Hypopituitarism;D007018
C15.378;Hypoproteinemia;D007019
C15.378;Hypoprothrombinemias;D007020
C16.320;Hypoprothrombinemias;D007020
C12.294;Hypospadias;D007021
C12.706;Hypospadias;D007021
C13.351;Hypospadias;D007021
C16.131;Hypospadias;D007021
C14.907;Hypotension;D007022
C10.177;Hypotension, Orthostatic;D007024
C14.907;Hypotension, Orthostatic;D007024
C10.228;Hypothalamic Diseases;D007027
C04.588;Hypothalamic Neoplasms;D007029
C10.228;Hypothalamic Neoplasms;D007029
C10.551;Hypothalamic Neoplasms;D007029
C19.874;Hypothyroidism;D007037
C17.800;Hypotrichosis;D007039
C08.618;Hypoventilation;D007040
C16.131;Ichthyosis;D007057
C16.614;Ichthyosis;D007057
C17.800;Ichthyosis;D007057
C06.405;Ileal Diseases;D007077
C04.588;Ileal Neoplasms;D007078
C06.301;Ileal Neoplasms;D007078
C06.405;Ileal Neoplasms;D007078
C06.405;Ileitis;D007079
C10.597;Illusions;D007088
C17.800;Immersion Foot;D007102
C20.543;Immune Complex Diseases;D007105
C15.604;Immunoblastic Lymphadenopathy;D007119
C20.683;Immunoblastic Lymphadenopathy;D007119
C20.673;Immunologic Deficiency Syndromes;D007153
C20.683;Immunoproliferative Disorders;D007160
C04.557;Immunoproliferative Small Intestinal Disease;D007161
C06.301;Immunoproliferative Small Intestinal Disease;D007161
C06.405;Immunoproliferative Small Intestinal Disease;D007161
C15.378;Immunoproliferative Small Intestinal Disease;D007161
C15.604;Immunoproliferative Small Intestinal Disease;D007161
C20.683;Immunoproliferative Small Intestinal Disease;D007161
C01.252;Impetigo;D007169
C01.539;Impetigo;D007169
C17.800;Impetigo;D007169
C12.294;Erectile Dysfunction;D007172
C10.228;Inappropriate ADH Syndrome;D007177
C18.452;Inappropriate ADH Syndrome;D007177
C19.700;Inappropriate ADH Syndrome;D007177
C16.131;Incontinentia Pigmenti;D007184
C16.320;Incontinentia Pigmenti;D007184
C17.800;Incontinentia Pigmenti;D007184
C24.426;Inert Gas Narcosis;D007222
C25.723;Inert Gas Narcosis;D007222
C18.654;Infant Nutrition Disorders;D007228
C16.614;Infant, Newborn, Diseases;D007232
C16.614;Infant, Premature, Diseases;D007235
C01.539;Infection;D007239
C02.256;Infectious Bovine Rhinotracheitis;D007241
C02.256;Infectious Mononucleosis;D007244
C15.378;Infectious Mononucleosis;D007244
C15.604;Infectious Mononucleosis;D007244
C20.683;Infectious Mononucleosis;D007244
C12.294;Infertility;D007246
C13.351;Infertility;D007246
C13.351;Infertility, Female;D007247
C12.294;Infertility, Male;D007248
C02.782;Influenza, Human;D007251
C08.730;Influenza, Human;D007251
C25.723;Insect Bites and Stings;D007299
C10.886;Sleep Initiation and Maintenance Disorders;D007319
C10.597;Insulin Coma;D007331
C18.452;Insulin Coma;D007331
C18.452;Insulin Resistance;D007333
C04.557;Insulinoma;D007340
C04.588;Insulinoma;D007340
C06.301;Insulinoma;D007340
C06.689;Insulinoma;D007340
C19.344;Insulinoma;D007340
C14.907;Intermittent Claudication;D007383
C17.800;Intertrigo;D007402
C05.116;Intervertebral Disc Displacement;D007405
C06.198;Intestinal Atresia;D007409
C06.405;Intestinal Atresia;D007409
C16.131;Intestinal Atresia;D007409
C06.405;Intestinal Diseases;D007410
C03.432;Intestinal Diseases, Parasitic;D007411
C06.405;Intestinal Diseases, Parasitic;D007411
C06.267;Intestinal Fistula;D007412
C06.405;Intestinal Fistula;D007412
C04.588;Intestinal Neoplasms;D007414
C06.301;Intestinal Neoplasms;D007414
C06.405;Intestinal Neoplasms;D007414
C06.405;Intestinal Obstruction;D007415
C06.405;Intestinal Perforation;D007416
C06.405;Intestinal Pseudo-Obstruction;D007418
C06.405;Intussusception;D007443
C11.941;Iris Diseases;D007499
C11.941;Iritis;D007500
C04.557;Adenoma, Islet Cell;D007516
C04.588;Adenoma, Islet Cell;D007516
C06.301;Adenoma, Islet Cell;D007516
C06.689;Adenoma, Islet Cell;D007516
C19.344;Adenoma, Islet Cell;D007516
C10.228;Creutzfeldt-Jakob Syndrome;D007562
C16.320;Jaundice, Chronic Idiopathic;D007566
C16.614;Jaundice, Chronic Idiopathic;D007566
C18.452;Jaundice, Chronic Idiopathic;D007566
C16.614;Jaundice, Neonatal;D007567
C05.500;Jaw Abnormalities;D007569
C05.660;Jaw Abnormalities;D007569
C07.320;Jaw Abnormalities;D007569
C07.650;Jaw Abnormalities;D007569
C16.131;Jaw Abnormalities;D007569
C04.182;Jaw Cysts;D007570
C05.500;Jaw Cysts;D007570
C07.320;Jaw Cysts;D007570
C05.500;Jaw Diseases;D007571
C07.320;Jaw Diseases;D007571
C26.260;Jaw Fractures;D007572
C26.404;Jaw Fractures;D007572
C04.588;Jaw Neoplasms;D007573
C05.116;Jaw Neoplasms;D007573
C05.500;Jaw Neoplasms;D007573
C07.320;Jaw Neoplasms;D007573
C05.500;Jaw, Edentulous;D007575
C07.320;Jaw, Edentulous;D007575
C07.465;Jaw, Edentulous;D007575
C07.793;Jaw, Edentulous;D007575
C05.500;Jaw, Edentulous, Partially;D007576
C07.320;Jaw, Edentulous, Partially;D007576
C07.465;Jaw, Edentulous, Partially;D007576
C07.793;Jaw, Edentulous, Partially;D007576
C06.405;Jejunal Diseases;D007579
C04.588;Jejunal Neoplasms;D007580
C06.301;Jejunal Neoplasms;D007580
C06.405;Jejunal Neoplasms;D007580
C15.378;Job's Syndrome;D007589
C20.673;Job's Syndrome;D007589
C05.550;Joint Diseases;D007592
C05.550;Joint Instability;D007593
C05.550;Joint Loose Bodies;D007594
C02.256;Kaposi Varicelliform Eruption;D007617
C02.825;Kaposi Varicelliform Eruption;D007617
C17.800;Kaposi Varicelliform Eruption;D007617
C08.127;Kartagener Syndrome;D007619
C08.200;Kartagener Syndrome;D007619
C08.695;Kartagener Syndrome;D007619
C09.150;Kartagener Syndrome;D007619
C14.240;Kartagener Syndrome;D007619
C14.280;Kartagener Syndrome;D007619
C16.131;Kartagener Syndrome;D007619
C16.320;Kartagener Syndrome;D007619
C05.651;Kearns-Sayre Syndrome;D007625
C10.292;Kearns-Sayre Syndrome;D007625
C10.668;Kearns-Sayre Syndrome;D007625
C11.590;Kearns-Sayre Syndrome;D007625
C11.768;Kearns-Sayre Syndrome;D007625
C14.280;Kearns-Sayre Syndrome;D007625
C18.452;Kearns-Sayre Syndrome;D007625
C17.300;Keloid;D007627
C11.204;Keratitis;D007634
C02.256;Keratitis, Dendritic;D007635
C02.325;Keratitis, Dendritic;D007635
C11.204;Keratitis, Dendritic;D007635
C11.294;Keratitis, Dendritic;D007635
C17.800;Keratoacanthoma;D007636
C11.187;Keratoconjunctivitis;D007637
C11.204;Keratoconjunctivitis;D007637
C11.187;Keratoconjunctivitis Sicca;D007638
C11.204;Keratoconjunctivitis Sicca;D007638
C11.496;Keratoconjunctivitis Sicca;D007638
C01.252;Keratoconjunctivitis, Infectious;D007639
C01.539;Keratoconjunctivitis, Infectious;D007639
C11.187;Keratoconjunctivitis, Infectious;D007639
C11.204;Keratoconjunctivitis, Infectious;D007639
C11.294;Keratoconjunctivitis, Infectious;D007639
C11.204;Keratoconus;D007640
C17.800;Keratosis;D007642
C16.320;Darier Disease;D007644
C17.800;Darier Disease;D007644
C16.320;Keratoderma, Palmoplantar;D007645
C17.800;Keratoderma, Palmoplantar;D007645
C10.228;Kernicterus;D007647
C15.378;Kernicterus;D007647
C16.614;Kernicterus;D007647
C18.452;Kernicterus;D007647
C20.188;Kernicterus;D007647
C18.452;Ketosis;D007662
C12.777;Kidney Calculi;D007669
C13.351;Kidney Calculi;D007669
C12.777;Kidney Cortex Necrosis;D007673
C13.351;Kidney Cortex Necrosis;D007673
C12.777;Kidney Diseases;D007674
C13.351;Kidney Diseases;D007674
C12.777;Kidney Failure, Chronic;D007676
C13.351;Kidney Failure, Chronic;D007676
C04.588;Kidney Neoplasms;D007680
C12.758;Kidney Neoplasms;D007680
C12.777;Kidney Neoplasms;D007680
C13.351;Kidney Neoplasms;D007680
C12.777;Kidney Papillary Necrosis;D007681
C13.351;Kidney Papillary Necrosis;D007681
C12.777;Kidney Tubular Necrosis, Acute;D007683
C13.351;Kidney Tubular Necrosis, Acute;D007683
C12.777;Polycystic Kidney Diseases;D007690
C13.351;Polycystic Kidney Diseases;D007690
C12.777;Medullary Sponge Kidney;D007691
C13.351;Medullary Sponge Kidney;D007691
C10.228;Menkes Kinky Hair Syndrome;D007706
C10.574;Menkes Kinky Hair Syndrome;D007706
C10.597;Menkes Kinky Hair Syndrome;D007706
C16.320;Menkes Kinky Hair Syndrome;D007706
C17.800;Menkes Kinky Hair Syndrome;D007706
C18.452;Menkes Kinky Hair Syndrome;D007706
C01.252;Klebsiella Infections;D007710
C12.706;Klinefelter Syndrome;D007713
C13.351;Klinefelter Syndrome;D007713
C16.131;Klinefelter Syndrome;D007713
C16.320;Klinefelter Syndrome;D007713
C19.391;Klinefelter Syndrome;D007713
C05.116;Klippel-Feil Syndrome;D007714
C05.660;Klippel-Feil Syndrome;D007714
C16.131;Klippel-Feil Syndrome;D007714
C14.907;Klippel-Trenaunay-Weber Syndrome;D007715
C26.558;Knee Injuries;D007718
C13.351;Vulvar Lichen Sclerosus;D007724
C04.557;Krukenberg Tumor;D007725
C10.228;Kuru;D007729
C10.574;Kuru;D007729
C18.654;Kwashiorkor;D007732
C02.081;Kyasanur Forest Disease;D007733
C02.782;Kyasanur Forest Disease;D007733
C05.116;Kyphosis;D007738
C13.703;Obstetric Labor Complications;D007744
C13.703;Obstetric Labor, Premature;D007752
C01.539;Laboratory Infection;D007757
C24.506;Laboratory Infection;D007757
C09.218;Labyrinth Diseases;D007759
C09.218;Labyrinthitis;D007762
C11.496;Lacrimal Apparatus Diseases;D007766
C11.496;Lacrimal Duct Obstruction;D007767
C13.703;Lactation Disorders;D007775
C17.800;Lactation Disorders;D007775
C06.405;Lactose Intolerance;D007787
C16.320;Lactose Intolerance;D007787
C18.452;Lactose Intolerance;D007787
C10.597;Language Development Disorders;D007805
C10.597;Language Disorders;D007806
C03.335;Larva Migrans;D007815
C03.858;Larva Migrans;D007815
C17.800;Larva Migrans;D007815
C03.335;Larva Migrans, Visceral;D007816
C08.360;Laryngeal Diseases;D007818
C09.400;Laryngeal Diseases;D007818
C08.360;Laryngeal Edema;D007819
C09.400;Laryngeal Edema;D007819
C04.588;Laryngeal Neoplasms;D007822
C08.360;Laryngeal Neoplasms;D007822
C08.785;Laryngeal Neoplasms;D007822
C09.400;Laryngeal Neoplasms;D007822
C09.647;Laryngeal Neoplasms;D007822
C08.360;Laryngismus;D007826
C08.618;Laryngismus;D007826
C09.400;Laryngismus;D007826
C08.360;Laryngitis;D007827
C08.730;Laryngitis;D007827
C09.400;Laryngitis;D007827
C08.360;Laryngostenosis;D007829
C09.400;Laryngostenosis;D007829
C16.131;Laryngostenosis;D007829
C02.782;Lassa Fever;D007835
C25.723;Lathyrism;D007842
C10.228;Laurence-Moon Syndrome;D007849
C16.131;Laurence-Moon Syndrome;D007849
C25.723;Lead Poisoning;D007855
C10.597;Learning Disorders;D007859
C16.320;Lecithin Acyltransferase Deficiency;D007863
C18.452;Lecithin Acyltransferase Deficiency;D007863
C17.800;Leg Dermatoses;D007868
C26.558;Leg Injuries;D007869
C05.116;Leg Length Inequality;D007870
C17.800;Leg Ulcer;D007871
C05.116;Legg-Calve-Perthes Disease;D007873
C01.252;Legionellosis;D007876
C08.730;Legionellosis;D007876
C01.252;Legionnaires' Disease;D007877
C08.730;Legionnaires' Disease;D007877
C10.228;Leigh Disease;D007888
C16.320;Leigh Disease;D007888
C18.452;Leigh Disease;D007888
C04.557;Leiomyoma;D007889
C04.557;Leiomyosarcoma;D007890
C03.752;Leishmaniasis;D007896
C03.858;Leishmaniasis;D007896
C17.800;Leishmaniasis;D007896
C03.752;Leishmaniasis, Mucocutaneous;D007897
C03.858;Leishmaniasis, Mucocutaneous;D007897
C17.800;Leishmaniasis, Mucocutaneous;D007897
C03.752;Leishmaniasis, Visceral;D007898
C11.510;Lens Diseases;D007905
C11.510;Lens Subluxation;D007906
C17.800;Lentigo;D007911
C01.252;Leprosy;D007918
C01.252;Leptospirosis;D007922
C14.907;Leriche Syndrome;D007925
C10.228;Lesch-Nyhan Syndrome;D007926
C10.574;Lesch-Nyhan Syndrome;D007926
C10.597;Lesch-Nyhan Syndrome;D007926
C16.320;Lesch-Nyhan Syndrome;D007926
C18.452;Lesch-Nyhan Syndrome;D007926
C04.557;Leukemia;D007938
C04.557;Leukemia L1210;D007939
C04.619;Leukemia L1210;D007939
C04.557;Leukemia L5178;D007940
C04.619;Leukemia L5178;D007940
C04.557;Leukemia P388;D007941
C04.619;Leukemia P388;D007941
C04.557;Leukemia, Experimental;D007942
C04.619;Leukemia, Experimental;D007942
C04.557;Leukemia, Hairy Cell;D007943
C15.604;Leukemia, Hairy Cell;D007943
C20.683;Leukemia, Hairy Cell;D007943
C04.557;Leukemia, Lymphoid;D007945
C15.604;Leukemia, Lymphoid;D007945
C20.683;Leukemia, Lymphoid;D007945
C04.557;Leukemia, Mast-Cell;D007946
C04.557;Leukemia, Megakaryoblastic, Acute;D007947
C04.557;Leukemia, Monocytic, Acute;D007948
C04.557;Leukemia, Myeloid;D007951
C04.557;Leukemia, Plasma Cell;D007952
C20.683;Leukemia, Plasma Cell;D007952
C04.557;Leukemia, Radiation-Induced;D007953
C04.682;Leukemia, Radiation-Induced;D007953
C26.733;Leukemia, Radiation-Induced;D007953
C15.378;Leukemoid Reaction;D007955
C15.378;Leukocyte Disorders;D007960
C15.378;Leukocytosis;D007964
C10.228;Leukodystrophy, Globoid Cell;D007965
C10.314;Leukodystrophy, Globoid Cell;D007965
C16.320;Leukodystrophy, Globoid Cell;D007965
C18.452;Leukodystrophy, Globoid Cell;D007965
C10.228;Leukodystrophy, Metachromatic;D007966
C10.314;Leukodystrophy, Metachromatic;D007966
C16.320;Leukodystrophy, Metachromatic;D007966
C18.452;Leukodystrophy, Metachromatic;D007966
C07.465;Leukoedema, Oral;D007967
C02.182;Leukoencephalopathy, Progressive Multifocal;D007968
C02.256;Leukoencephalopathy, Progressive Multifocal;D007968
C02.290;Leukoencephalopathy, Progressive Multifocal;D007968
C02.839;Leukoencephalopathy, Progressive Multifocal;D007968
C10.228;Leukoencephalopathy, Progressive Multifocal;D007968
C10.314;Leukoencephalopathy, Progressive Multifocal;D007968
C10.228;Leukomalacia, Periventricular;D007969
C14.907;Leukomalacia, Periventricular;D007969
C16.614;Leukomalacia, Periventricular;D007969
C15.378;Leukopenia;D007970
C04.834;Leukoplakia;D007971
C04.588;Leukoplakia, Oral;D007972
C04.834;Leukoplakia, Oral;D007972
C07.465;Leukoplakia, Oral;D007972
C13.351;Leukorrhea;D007973
C14.240;Levocardia;D007979
C14.280;Levocardia;D007979
C16.131;Levocardia;D007979
C04.557;Leydig Cell Tumor;D007984
C04.588;Leydig Cell Tumor;D007984
C12.294;Leydig Cell Tumor;D007984
C12.758;Leydig Cell Tumor;D007984
C19.344;Leydig Cell Tumor;D007984
C19.391;Leydig Cell Tumor;D007984
C17.800;Lichen Planus;D008010
C04.557;Linitis Plastica;D008039
C07.465;Lip Diseases;D008047
C04.588;Lip Neoplasms;D008048
C07.465;Lip Neoplasms;D008048
C16.320;Lipid Metabolism, Inborn Errors;D008052
C18.452;Lipid Metabolism, Inborn Errors;D008052
C16.320;Mucopolysaccharidosis I;D008059
C17.300;Mucopolysaccharidosis I;D008059
C18.452;Mucopolysaccharidosis I;D008059
C17.800;Lipodystrophy;D008060
C18.452;Lipodystrophy;D008060
C01.252;Whipple Disease;D008061
C06.405;Whipple Disease;D008061
C18.452;Whipple Disease;D008061
C16.320;Lipidoses;D008064
C18.452;Lipidoses;D008064
C08.618;Lipoid Proteinosis of Urbach and Wiethe;D008065
C16.320;Lipoid Proteinosis of Urbach and Wiethe;D008065
C04.557;Lipoma;D008067
C17.800;Lipomatosis;D008068
C18.452;Lipomatosis;D008068
C17.800;Lipomatosis, Multiple Symmetrical;D008069
C18.452;Lipomatosis, Multiple Symmetrical;D008069
C16.320;Hyperlipoproteinemia Type I;D008072
C18.452;Hyperlipoproteinemia Type I;D008072
C04.557;Liposarcoma;D008080
C01.252;Listeriosis;D008088
C01.539;Liver Abscess;D008100
C06.552;Liver Abscess;D008100
C01.539;Liver Abscess, Amebic;D008101
C03.518;Liver Abscess, Amebic;D008101
C03.752;Liver Abscess, Amebic;D008101
C06.552;Liver Abscess, Amebic;D008101
C06.552;Liver Cirrhosis;D008103
C06.552;Liver Cirrhosis, Alcoholic;D008104
C25.100;Liver Cirrhosis, Alcoholic;D008104
C06.130;Liver Cirrhosis, Biliary;D008105
C06.552;Liver Cirrhosis, Biliary;D008105
C06.552;Liver Cirrhosis, Experimental;D008106
C06.552;Liver Diseases;D008107
C06.552;Liver Diseases, Alcoholic;D008108
C25.100;Liver Diseases, Alcoholic;D008108
C03.518;Liver Diseases, Parasitic;D008109
C06.552;Liver Diseases, Parasitic;D008109
C04.588;Liver Neoplasms;D008113
C06.301;Liver Neoplasms;D008113
C06.552;Liver Neoplasms;D008113
C04.588;Liver Neoplasms, Experimental;D008114
C04.619;Liver Neoplasms, Experimental;D008114
C06.301;Liver Neoplasms, Experimental;D008114
C06.552;Liver Neoplasms, Experimental;D008114
C03.335;Loiasis;D008118
C14.280;Long QT Syndrome;D008133
C16.131;Long QT Syndrome;D008133
C05.116;Lordosis;D008141
C02.782;Louping Ill;D008146
C14.280;Lown-Ganong-Levine Syndrome;D008151
C01.539;Ludwig's Angina;D008158
C07.465;Ludwig's Angina;D008158
C02.256;Lumpy Skin Disease;D008166
C01.539;Lung Abscess;D008169
C08.381;Lung Abscess;D008169
C08.730;Lung Abscess;D008169
C08.381;Lung Diseases;D008171
C01.703;Lung Diseases, Fungal;D008172
C08.381;Lung Diseases, Fungal;D008172
C08.730;Lung Diseases, Fungal;D008172
C08.381;Lung Diseases, Obstructive;D008173
C03.582;Lung Diseases, Parasitic;D008174
C08.381;Lung Diseases, Parasitic;D008174
C08.730;Lung Diseases, Parasitic;D008174
C04.588;Lung Neoplasms;D008175
C08.381;Lung Neoplasms;D008175
C08.785;Lung Neoplasms;D008175
C01.252;Lupus Vulgaris;D008177
C01.539;Lupus Vulgaris;D008177
C17.800;Lupus Vulgaris;D008177
C17.300;Lupus Erythematosus, Cutaneous;D008178
C17.800;Lupus Erythematosus, Cutaneous;D008178
C17.300;Lupus Erythematosus, Discoid;D008179
C17.800;Lupus Erythematosus, Discoid;D008179
C17.300;Lupus Erythematosus, Systemic;D008180
C20.111;Lupus Erythematosus, Systemic;D008180
C12.777;Lupus Nephritis;D008181
C13.351;Lupus Nephritis;D008181
C17.300;Lupus Nephritis;D008181
C20.111;Lupus Nephritis;D008181
C14.240;Lutembacher Syndrome;D008185
C14.280;Lutembacher Syndrome;D008185
C16.131;Lutembacher Syndrome;D008185
C01.252;Lyme Disease;D008193
C15.604;Lymphadenitis;D008199
C15.604;Lymphangiectasis;D008200
C15.604;Lymphangiectasis, Intestinal;D008201
C16.131;Lymphangiectasis, Intestinal;D008201
C04.557;Lymphangioma;D008202
C04.557;Lymphangiomyoma;D008203
C15.604;Lymphangiomyoma;D008203
C20.683;Lymphangiomyoma;D008203
C04.557;Lymphangiosarcoma;D008204
C15.604;Lymphangitis;D008205
C15.604;Lymphatic Diseases;D008206
C04.697;Lymphatic Metastasis;D008207
C15.604;Lymphedema;D008209
C04.182;Lymphocele;D008210
C15.604;Lymphocele;D008210
C02.182;Lymphocytic Choriomeningitis;D008216
C02.587;Lymphocytic Choriomeningitis;D008216
C02.782;Lymphocytic Choriomeningitis;D008216
C10.228;Lymphocytic Choriomeningitis;D008216
C15.378;Lymphocytosis;D008218
C01.252;Lymphogranuloma Venereum;D008219
C01.539;Lymphogranuloma Venereum;D008219
C12.294;Lymphogranuloma Venereum;D008219
C13.351;Lymphogranuloma Venereum;D008219
C04.557;Lymphoma;D008223
C15.604;Lymphoma;D008223
C20.683;Lymphoma;D008223
C04.557;Lymphoma, Follicular;D008224
C15.604;Lymphoma, Follicular;D008224
C20.683;Lymphoma, Follicular;D008224
C04.557;Lymphoma, Non-Hodgkin;D008228
C15.604;Lymphoma, Non-Hodgkin;D008228
C20.683;Lymphoma, Non-Hodgkin;D008228
C04.557;Lymphomatoid Granulomatosis;D008230
C04.834;Lymphomatoid Granulomatosis;D008230
C15.604;Lymphomatoid Granulomatosis;D008230
C20.683;Lymphomatoid Granulomatosis;D008230
C15.378;Lymphopenia;D008231
C20.673;Lymphopenia;D008231
C15.604;Lymphoproliferative Disorders;D008232
C20.683;Lymphoproliferative Disorders;D008232
C04.557;Waldenstrom Macroglobulinemia;D008258
C14.907;Waldenstrom Macroglobulinemia;D008258
C15.378;Waldenstrom Macroglobulinemia;D008258
C15.604;Waldenstrom Macroglobulinemia;D008258
C20.683;Waldenstrom Macroglobulinemia;D008258
C07.465;Macroglossia;D008260
C07.465;Macrostomia;D008265
C07.650;Macrostomia;D008265
C16.131;Macrostomia;D008265
C11.768;Macular Degeneration;D008268
C11.768;Macular Edema;D008269
C01.252;Mycetoma;D008271
C01.539;Mycetoma;D008271
C01.703;Mycetoma;D008271
C17.800;Mycetoma;D008271
C18.654;Magnesium Deficiency;D008275
C06.405;Malabsorption Syndromes;D008286
C18.452;Malabsorption Syndromes;D008286
C03.752;Malaria;D008288
C03.752;Malaria, Avian;D008289
C04.557;Malignant Carcinoid Syndrome;D008303
C02.256;Malignant Catarrh;D008304
C06.405;Mallory-Weiss Syndrome;D008309
C07.793;Malocclusion;D008310
C07.793;Malocclusion, Angle Class I;D008311
C07.793;Malocclusion, Angle Class II;D008312
C07.793;Malocclusion, Angle Class III;D008313
C04.588;Mammary Neoplasms, Experimental;D008325
C04.619;Mammary Neoplasms, Experimental;D008325
C05.500;Mandibular Diseases;D008336
C07.320;Mandibular Diseases;D008336
C26.260;Mandibular Fractures;D008337
C26.404;Mandibular Fractures;D008337
C26.260;Mandibular Injuries;D008338
C04.588;Mandibular Neoplasms;D008339
C05.116;Mandibular Neoplasms;D008339
C05.500;Mandibular Neoplasms;D008339
C07.320;Mandibular Neoplasms;D008339
C05.116;Mandibulofacial Dysostosis;D008342
C05.660;Mandibulofacial Dysostosis;D008342
C16.131;Mandibulofacial Dysostosis;D008342
C16.320;alpha-Mannosidosis;D008363
C18.452;alpha-Mannosidosis;D008363
C03.335;Mansonelliasis;D008368
C10.228;Maple Syrup Urine Disease;D008375
C16.320;Maple Syrup Urine Disease;D008375
C18.452;Maple Syrup Urine Disease;D008375
C02.782;Marburg Virus Disease;D008379
C02.256;Marek Disease;D008380
C02.928;Marek Disease;D008380
C04.619;Marek Disease;D008380
C04.925;Marek Disease;D008380
C15.604;Marek Disease;D008380
C20.683;Marek Disease;D008380
C05.116;Marfan Syndrome;D008382
C14.240;Marfan Syndrome;D008382
C14.280;Marfan Syndrome;D008382
C16.131;Marfan Syndrome;D008382
C16.320;Marfan Syndrome;D008382
C17.300;Marfan Syndrome;D008382
C13.703;Mastitis;D008413
C17.800;Mastitis;D008413
C04.557;Mastocytosis;D008415
C17.800;Mastocytosis;D008415
C01.539;Mastoiditis;D008417
C05.116;Mastoiditis;D008417
C09.218;Mastoiditis;D008417
C05.500;Maxillary Diseases;D008439
C07.320;Maxillary Diseases;D008439
C26.260;Maxillary Fractures;D008440
C26.404;Maxillary Fractures;D008440
C04.588;Maxillary Neoplasms;D008441
C05.116;Maxillary Neoplasms;D008441
C05.500;Maxillary Neoplasms;D008441
C07.320;Maxillary Neoplasms;D008441
C04.588;Maxillary Sinus Neoplasms;D008444
C08.460;Maxillary Sinus Neoplasms;D008444
C08.785;Maxillary Sinus Neoplasms;D008444
C09.603;Maxillary Sinus Neoplasms;D008444
C09.647;Maxillary Sinus Neoplasms;D008444
C26.260;Maxillofacial Injuries;D008446
C02.782;Measles;D008457
C06.198;Meckel Diverticulum;D008467
C16.131;Meckel Diverticulum;D008467
C08.381;Meconium Aspiration Syndrome;D008471
C08.618;Meconium Aspiration Syndrome;D008471
C13.703;Meconium Aspiration Syndrome;D008471
C16.300;Meconium Aspiration Syndrome;D008471
C16.614;Meconium Aspiration Syndrome;D008471
C04.182;Mediastinal Cyst;D008476
C08.846;Mediastinal Cyst;D008476
C08.846;Mediastinal Diseases;D008477
C08.846;Mediastinal Emphysema;D008478
C04.588;Mediastinal Neoplasms;D008479
C08.846;Mediastinal Neoplasms;D008479
C08.846;Mediastinitis;D008480
C04.557;Medulloblastoma;D008527
C06.405;Megacolon;D008531
C06.405;Megacolon, Toxic;D008532
C10.228;Meige Syndrome;D008538
C04.588;Meigs Syndrome;D008539
C13.351;Meigs Syndrome;D008539
C19.344;Meigs Syndrome;D008539
C19.391;Meigs Syndrome;D008539
C04.557;Melanoma;D008545
C04.557;Melanoma, Experimental;D008546
C04.619;Melanoma, Experimental;D008546
C17.800;Melanosis;D008548
C06.405;Melena;D008551
C01.252;Melioidosis;D008554
C07.465;Melkersson-Rosenthal Syndrome;D008556
C10.292;Melkersson-Rosenthal Syndrome;D008556
C05.116;Melorheostosis;D008557
C10.597;Memory Disorders;D008569
C09.218;Meniere Disease;D008575
C04.588;Meningeal Neoplasms;D008577
C10.551;Meningeal Neoplasms;D008577
C04.557;Meningioma;D008579
C04.588;Meningioma;D008579
C10.551;Meningioma;D008579
C10.597;Meningism;D008580
C10.228;Meningitis;D008581
C02.182;Meningitis, Aseptic;D008582
C02.587;Meningitis, Aseptic;D008582
C10.228;Meningitis, Aseptic;D008582
C01.252;Meningitis, Haemophilus;D008583
C10.228;Meningitis, Haemophilus;D008583
C01.252;Meningitis, Listeria;D008584
C10.228;Meningitis, Listeria;D008584
C01.252;Meningitis, Meningococcal;D008585
C10.228;Meningitis, Meningococcal;D008585
C01.252;Meningitis, Pneumococcal;D008586
C10.228;Meningitis, Pneumococcal;D008586
C02.182;Meningitis, Viral;D008587
C02.587;Meningitis, Viral;D008587
C10.228;Meningitis, Viral;D008587
C10.500;Meningocele;D008588
C16.131;Meningocele;D008588
C01.252;Meningococcal Infections;D008589
C10.228;Meningoencephalitis;D008590
C10.500;Meningomyelocele;D008591
C16.131;Meningomyelocele;D008591
